id,review,sentiment,confidence,sarcasm,aspect,annotator_notes
1,Amazing quality and fast delivery. Will definitely order again.,Positive,High,No,Product Quality + Shipping,Clear positive on two aspects
2,The product works as expected. Nothing more nothing less.,Neutral,High,No,Product Quality,Purely factual; meets expectations but no praise
3,Very disappointed with this purchase. Complete waste of money.,Negative,High,No,Value for Money,Strong negative signal
4,Customer support was incredibly helpful and resolved my issue within minutes.,Positive,High,No,Customer Service,Specific praise with detail
5,I received the package yesterday.,Neutral,High,No,Shipping,Factual statement; no sentiment expressed
6,The item broke after one day of use. Absolutely terrible.,Negative,High,No,Product Quality + Durability,Explicit negative + emotional word
7,Excellent value for money. Best purchase I made this year.,Positive,High,No,Value for Money,Superlative language; strong positive
8,The color is blue and the size is medium.,Neutral,High,No,Product Features,Pure description; zero sentiment
9,Terrible experience overall. Never buying from this seller again.,Negative,High,No,Overall Experience,Strong negative intent signal
10,Highly recommended! Five stars all the way.,Positive,High,No,Overall Experience,Recommendation = strong positive
11,Oh sure the product is AMAZING. Fell apart in two days.,Negative,High,Yes,Product Quality + Durability,Sarcasm in opener; actual meaning is negative
12,Fast shipping but the product quality is very poor.,Negative,Medium,No,Shipping + Product Quality,Mixed but negative dominates due to core product failure
13,The packaging was intact and the item arrived safely.,Neutral,High,No,Shipping + Packaging,Factual delivery report; no strong feeling
14,I love this product! Using it every single day.,Positive,High,No,Product Quality,Emotional word + behavioral evidence
15,Battery life is terrible. Dies within 3 hours.,Negative,High,No,Product Features,Specific flaw with evidence
16,Works fine I guess.,Neutral,Medium,No,Product Quality,Minimal approval; no real enthusiasm
17,Absolutely stunning design. Looks even better in person.,Positive,High,No,Product Design,Superlative + exceeds expectation signal
18,The instructions are in the box.,Neutral,High,No,Product Features,Factual; no opinion expressed
19,Worst product I have ever bought in my entire life.,Negative,High,No,Overall Experience,Superlative negative
20,Decent product for the price.,Neutral,Medium,No,Value for Money,Mild positive leaning neutral; no strong praise
21,I am beyond happy with this purchase. Exceeded all my expectations.,Positive,High,No,Overall Experience,Strong emotional positive
22,Yeah right this charger is so durable. Stopped working after a week.,Negative,High,Yes,Product Quality + Durability,Sarcastic opener confirmed by negative fact
23,The seller responded promptly to my question.,Positive,Medium,No,Customer Service,Positive service indicator though mild
24,Product arrived in damaged packaging.,Negative,High,No,Shipping + Packaging,Objective negative fact
25,I ordered it on Tuesday and it came Thursday.,Neutral,High,No,Shipping,Timeline report; no sentiment
26,So comfortable I forgot I was wearing it.,Positive,High,No,Product Comfort,Vivid positive metaphor
27,Poor build quality. Feels cheap and flimsy.,Negative,High,No,Product Quality,Tactile negative descriptors
28,The size runs a bit small. I would suggest sizing up.,Neutral,Medium,No,Product Fit,Factual advice; mild complaint but informational tone
29,Great product but delivery took forever.,Neutral,Medium,No,Product Quality + Shipping,Mixed signals of equal weight; cancels out
30,Five stars. No complaints whatsoever.,Positive,High,No,Overall Experience,Perfect rating + absence of negatives
31,Meh. It does what it says but nothing impressive.,Neutral,Medium,No,Product Quality,Dismissive but not negative; meets bare minimum
32,Absolutely love the material. Feels premium and luxurious.,Positive,High,No,Product Quality,Sensory positive with premium qualifier
33,I have been using this for three months with zero issues.,Positive,High,No,Product Durability,Durability evidence over time = strong positive
34,The product stopped working after two uses. Requesting a refund.,Negative,High,No,Product Quality + After-Sales,Failure + action intent = clear negative
35,Came exactly as described. No surprises.,Positive,Medium,No,Product Accuracy,Matches listing = positive for buyers
36,Not bad honestly.,Neutral,Medium,No,Overall Experience,Mild informal approval; not enough for positive
37,This is hands down the best blender I have ever owned.,Positive,High,No,Product Quality,Superlative ownership comparison
38,Customer service kept me on hold for 45 minutes.,Negative,High,No,Customer Service,Specific evidence of poor service
39,The laptop weighs 1.5 kg and has 8GB RAM.,Neutral,High,No,Product Features,Spec sheet information; no opinion
40,Overhyped product. Does not live up to the reviews.,Negative,High,No,Overall Experience + Value for Money,Gap between expectation and reality = negative
41,Pleasantly surprised by the build quality. Much better than expected.,Positive,High,No,Product Quality,Positive surprise signal
42,Whatever. It arrived.,Neutral,Medium,No,Shipping,Indifferent; minimal engagement
43,The return process was smooth and hassle-free.,Positive,High,No,After-Sales,Positive service experience
44,Colors faded after the first wash. Very disappointed.,Negative,High,No,Product Durability,Post-use failure = strong negative
45,I think it is okay for occasional use.,Neutral,Medium,No,Product Quality,Hedged lukewarm statement
46,Superb craftsmanship. You can really tell quality went into this.,Positive,High,No,Product Quality,Craft appreciation = high positive
47,Screen cracked within a week despite careful handling.,Negative,High,No,Product Durability,Structural failure with context = strong negative
48,The dimensions are 30x20x10 cm as listed.,Neutral,High,No,Product Features,Pure factual spec
49,Shipping was delayed by a week with no communication.,Negative,High,No,Shipping + Customer Service,Two failures; logistics + communication
50,Honestly one of the best purchases I have made online.,Positive,High,No,Overall Experience,Personal superlative = strong positive
